"X","Track.Name","Artist","id","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence","Streams","popularity"
0,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X","5Z9KJZvQzH6PFmb8SNkxuk",0.0221,0.741,212353,0.691,0,10,0.0476,-7.395,0,0.0672,150.087,4,0.892,13890659,91
1,"Way 2 Sexy (with Future & Young Thug)","Drake","0k1WUmIRnG3xU6fvvDVfRG",0.000619,0.803,257605,0.597,4.5e-06,11,0.323,-6.035,0,0.141,136.008,4,0.331,10897624,93
2,"STAY (with Justin Bieber)","The Kid LAROI","5PjdY0CKGZdEuoNab3yDmX",0.0383,0.591,141806,0.764,0,1,0.103,-5.484,1,0.0483,169.928,4,0.478,10613177,93
3,"THATS WHAT I WANT","Lil Nas X","0e8nrvls4Qqv5Rfa2UhqmO",0.00614,0.737,143901,0.846,0,1,0.0486,-4.51,0,0.22,87.981,4,0.546,10150153,95
4,"Knife Talk (with 21 Savage ft. Project Pat)","Drake","2BcMwX1MPV6ZHP4tUT9uq6",0.0635,0.849,242966,0.424,0,5,0.0834,-9.579,0,0.324,145.887,4,0.153,9492188,92
5,"Heat Waves","Glass Animals","02MWAaffLxlfxAUY7c5dvx",0.44,0.761,238805,0.525,6.7e-06,11,0.0921,-6.9,1,0.0944,80.87,4,0.531,8027511,92
6,"MONTERO (Call Me By Your Name)","Lil Nas X","1SC5rEoYDGUK4NfG82494W",0.293,0.593,137704,0.503,0,8,0.405,-6.725,0,0.22,178.781,4,0.71,7803910,91
7,"Fair Trade (with Travis Scott)","Drake","40iJIUlhi6renaREYGeIDS",0.0503,0.666,291175,0.465,0,1,0.215,-8.545,1,0.26,167.937,4,0.292,7545112,92
8,"good 4 u","Olivia Rodrigo","4ZtFanR9U6ndgddUvNcjcG",0.335,0.563,178147,0.664,0,9,0.0849,-5.044,1,0.154,166.928,4,0.688,6316088,96
9,"family ties (with Kendrick Lamar)","Baby Keem","3QFInJAm9eyaho5vBzxInN",0.00588,0.711,252262,0.611,0,1,0.23,-5.453,1,0.33,134.093,4,0.144,6112549,78
10,"Need to Know","Doja Cat","3Vi5XqYrmQgOYBajMWSvCi",0.304,0.664,210560,0.609,0,1,0.0926,-6.509,1,0.0707,130.041,4,0.194,6072113,94
11,"Girls Want Girls (with Lil Baby)","Drake","37Nqx7iavZpotJSDXZWbJ3",0.181,0.767,221980,0.438,0,7,0.142,-8.726,0,0.29,86.975,4,0.381,5871287,91
12,"Meet Me At Our Spot","THE ANXIETY","07MDkzWARZaLEdKxo6yArG",0.0153,0.773,162680,0.47,0.000193,2,0.0851,-7.93,1,0.0299,94.995,4,0.399,5638039,92
13,"Kiss Me More (feat. SZA)","Doja Cat","3DarAbFujv6eYNliUTyqtz",0.259,0.764,208667,0.705,8.92e-05,8,0.12,-3.463,1,0.0284,110.97,4,0.781,5559616,87
14,"Hurricane","Kanye West","0RbW8kWozrVSIGb4V13o0o",0.0466,0.587,243187,0.561,0,0,0.109,-6.569,1,0.146,80.009,4,0.351,5548479,84
